Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-681 colour-29
vertex-682 colour-45
vertex-683 colour-42
vertex-684 colour-31
vertex-685 colour-68
vertex-686 colour-69
vertex-687 colour-50
vertex-688 colour-68
vertex-689 colour-64
vertex-690 colour-58
vertex-691 colour-27
vertex-692 colour-1
vertex-693 colour-64
vertex-694 colour-14
vertex-695 colour-15
vertex-696 colour-50
vertex-697 colour-58
vertex-698 colour-62
vertex-699 colour-46
vertex-700 colour-61
vertex-701 colour-44
vertex-702 colour-7
vertex-703 colour-64
vertex-704 colour-69
vertex-705 colour-59
vertex-706 colour-56
vertex-707 colour-61
vertex-708 colour-68
vertex-709 colour-8
vertex-710 colour-65
vertex-711 colour-66
vertex-712 colour-64
vertex-713 colour-42
vertex-714 colour-56
vertex-715 colour-1
vertex-716 colour-32
vertex-717 colour-32
vertex-718 colour-60
vertex-719 colour-35
vertex-720 colour-9
vertex-721 colour-47
vertex-722 colour-34
vertex-723 colour-54
vertex-724 colour-58
vertex-725 colour-42
vertex-726 colour-37
vertex-727 colour-63
vertex-728 colour-45
vertex-729 colour-40
vertex-730 colour-25
vertex-731 colour-28
vertex-732 colour-64
vertex-733 colour-60
vertex-734 colour-69
vertex-735 colour-11
vertex-736 colour-37
vertex-737 colour-65
vertex-738 colour-70
vertex-739 colour-42
vertex-740 colour-49
vertex-741 colour-10
vertex-742 colour-42
vertex-743 colour-38
vertex-744 colour-43
vertex-745 colour-67
vertex-746 colour-63
vertex-747 colour-39
vertex-748 colour-26
vertex-749 colour-69
vertex-750 colour-33
vertex-751 colour-15
vertex-752 colour-19
vertex-753 colour-55
vertex-754 colour-70
vertex-755 colour-11
vertex-756 colour-67
vertex-757 colour-53
vertex-758 colour-38
vertex-759 colour-69
vertex-760 colour-13
vertex-761 colour-31
vertex-762 colour-59
vertex-763 colour-36
vertex-764 colour-42
vertex-765 colour-38
vertex-766 colour-34
vertex-767 colour-71
vertex-768 colour-13
vertex-769 colour-66
vertex-770 colour-63
vertex-771 colour-10
vertex-772 colour-23
vertex-773 colour-52
vertex-774 colour-68
vertex-775 colour-38
vertex-776 colour-44
vertex-777 colour-19
vertex-778 colour-27
vertex-779 colour-61
vertex-780 colour-18
vertex-781 colour-62
vertex-782 colour-40
vertex-783 colour-40
vertex-784 colour-20
vertex-785 colour-62
vertex-786 colour-61
vertex-787 colour-53
vertex-788 colour-27
vertex-789 colour-67
vertex-790 colour-70
vertex-791 colour-13
vertex-792 colour-57
vertex-793 colour-49
vertex-794 colour-16
vertex-795 colour-64
vertex-796 colour-65
vertex-797 colour-68
vertex-798 colour-57
vertex-799 colour-52
vertex-800 colour-62
vertex-801 colour-51
