fine-grained algorithm:

Number of distinct colours used: 160

timetaken in microseconds= 998432μs
timetaken in milliseconds= 998.432milli seconds

Assigned colours:
vertex-942 colour-140
vertex-943 colour-146
vertex-944 colour-153
vertex-945 colour-135
vertex-946 colour-157
vertex-947 colour-120
vertex-948 colour-131
vertex-949 colour-132
vertex-950 colour-141
vertex-951 colour-108
vertex-952 colour-27
vertex-953 colour-136
vertex-954 colour-155
vertex-955 colour-140
vertex-956 colour-144
vertex-957 colour-155
vertex-958 colour-145
vertex-959 colour-123
vertex-960 colour-143
vertex-961 colour-128
vertex-962 colour-147
vertex-963 colour-141
vertex-964 colour-149
vertex-965 colour-159
vertex-966 colour-81
vertex-967 colour-121
vertex-968 colour-4
vertex-969 colour-143
vertex-970 colour-147
vertex-971 colour-153
vertex-972 colour-144
vertex-973 colour-132
vertex-974 colour-149
vertex-975 colour-160
vertex-976 colour-149
vertex-977 colour-1
vertex-978 colour-146
vertex-979 colour-151
vertex-980 colour-138
vertex-981 colour-150
vertex-982 colour-128
vertex-983 colour-148
vertex-984 colour-157
vertex-985 colour-145
vertex-986 colour-146
vertex-987 colour-152
vertex-988 colour-51
vertex-989 colour-158
vertex-990 colour-134
vertex-991 colour-136
vertex-992 colour-154
vertex-993 colour-154
vertex-994 colour-113
vertex-995 colour-143
vertex-996 colour-156
vertex-997 colour-136
vertex-998 colour-158
vertex-999 colour-0
vertex-1000 colour-0
